Date,SPY,AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,FB,NVDA,BRK-B,JPM,JNJ,UNH,HD,PG,V,BAC,MA,PFE,XOM,DIS,CSCO,AVGO,ADBE,CVX,PEP,TMO,KO,ABBV,CMCSA,NFLX,ABT,ACN,COST,CRM,INTC,WFC,VZ,PYPL,WMT,QCOM,MRK,LLY,MCD,T,NKE,DHR,LOW,LIN,TXN,NEE,AMD,UNP,PM,INTU,UPS,HON,MS,MDT,BMY,AMAT,ORCL,SCHW,CVS,RTX,C,GS,AMGN,BLK,BA,CAT,IBM,SBUX,AMT,PLD,GE,ISRG,COP,TGT,ANTM,AXP,DE,MU,SPGI,MMM,NOW,BKNG,F,ADP,ZTS,LRCX,PNC,MDLZ,MO,ADI,GILD,LMT,SYK,GM,TFC,TJX
2021/10/20 0:00,450.8261414,149.0424805,306.8486328,3415.060059,865.7999878,2835.379883,2848.300049,340.7799988,221.0029449,287.4899902,169.822052,162.7142029,433.6755371,356.7545471,139.5863342,231.0133209,46.86443329,356.3024292,42.42757797,63.00328064,170.5500031,55.87077332,506.1521912,632.3699951,111.8670731,160.2272797,605.3562622,54.2096138,107.296608,54.44043732,625.1400146,122.8765869,344.9057922,469.0112305,290.0899963,54.98760605,49.96707535,52.9717865,258.3599854,145.414505,131.6622772,80.30810547,242.9312134,238.3983307,25.39398193,158.1657257,314.6156006,224.2704315,310.1835632,198.1595459,83.54994965,116.3899994,226.9266357,95.71652985,569.8684082,194.3099823,222.6776886,99.96831512,121.0190964,57.56552887,133.7640686,96.28231812,81.4081955,85.59250641,91.14533234,71.30323792,405.7488098,207.9144135,898.7845459,216.1699982,203.0687408,133.87323,113.3711624,274.6757507,142.8520203,105.9072723,339.7999878,75.35694122,250.9725494,422.8658142,179.1503754,343.0050354,68.19728088,439.8198853,180.9474182,681.1099854,2384.179932,15.9596405,212.1043243,206.0639038,564.2615967,211.625351,59.97206497,47.51756668,176.2449493,66.18770599,368.0846558,273.0582275,57.66999817,63.40637589,63.62243652
2021/10/21 0:00,452.0020142,149.262146,310.1925049,3435.01001,894,2837.719971,2855.610107,341.8800049,226.8922119,286.8200073,168.4900513,162.3366699,440.8421631,363.1182251,138.5817413,229.8354034,46.60567856,355.7431641,42.48705673,61.85866547,171.3399963,55.36375809,510.8819275,638.6599731,110.463295,158.1115723,608.1651001,53.93176651,107.643013,53.76378632,653.1599731,124.6104736,346.2223816,476.459198,289.8099976,55.61325455,50.13642502,52.75440216,243.2100067,146.2212524,132.5489349,80.40716553,240.3894653,240.0690613,25.24697113,161.8890228,310.5382385,226.6725159,310.2732544,200.0578461,83.44042969,119.3300018,230.1810913,95.22324371,577.6793213,198.4594879,223.553894,99.59091949,120.879982,57.30779266,133.1251068,95.94358063,82.05674744,86.39820099,91.075737,70.00266266,405.4503479,207.25,899.5709229,214.3399963,201.0299988,121.0708313,113.9486771,277.6609192,144.3659973,103.059761,339.6300049,73.93940735,253.3444519,429.2080688,177.0256958,341.8884277,68.56689453,444.6916809,180.6498413,686.3400269,2411.129883,16.46708298,213.756958,208.3711395,554.2036743,211.5557251,59.84274673,47.32133484,178.1277466,66.31639862,370.078186,275.7313232,58.40999985,63.10860062,64.43938446
2021/10/22 0:00,451.5336609,148.4733124,308.5954285,3335.550049,909.6799927,2751.330078,2772.5,324.6099854,227.2321777,289.2399902,170.7564545,162.6546021,447.6997986,364.4825745,140.0736847,230.8236542,47.34213257,358.1999817,42.78444672,62.2829628,169.4199982,54.78715897,512.1338501,643.5800171,111.5111847,158.896286,611.7137451,54.03100204,108.019104,53.95285416,664.7800293,126.2746048,352.8751526,481.2114868,292.5599976,49.11841965,50.46515274,52.29988098,240.3999939,147.7451172,131.1243134,80.38735199,242.9611053,237.1253967,24.98234749,163.1866913,313.1765442,228.0180817,313.1037903,197.8514404,84.04774475,119.8199997,236.4611206,95.57840729,590.1148682,202.8079987,216.4645233,101.1004791,122.3108673,57.09961319,135.7109222,97.88636017,83.36383057,87.05469513,91.32427979,70.85647583,412.1450195,207.4979095,910.7692261,212.9700012,200.6499939,120.646286,114.0582047,283.0441895,143.429718,103.9589767,341.519989,75.05956268,255.0585938,432.1298828,186.6116486,339.6751709,67.43809509,449.7331848,179.3404999,686.6500244,2394.590088,16.19843864,216.7834625,208.2612762,555.520813,214.8872375,60.20085144,47.31152344,177.7392273,66.56388092,371.5261841,275.0231628,57.77000046,63.96222687,63.92132187
2021/10/25 0:00,453.9551392,148.4233856,307.5673218,3320.370117,1024.859985,2748.939941,2775.459961,328.6900024,231.6316376,290.2600098,169.921463,163.0122528,448.028717,369.730896,140.0935822,233.4690094,47.28242111,360.3870544,42.77453232,63.4966507,172.0099945,54.81698227,518.7515869,646.9699707,112.5491867,158.1513062,607.5054321,53.81269073,107.3856812,53.81354523,671.6599731,126.1350937,355.51828,489.3084106,293.9200134,49.06876755,50.42530441,51.95404816,246.8800049,149.4582214,131.433136,80.89256287,244.2569122,236.0314484,25.1293602,163.9253693,305.9012756,231.0580597,315.6253662,198.9745178,83.9183197,122.3600006,239.1383362,95.24298096,601.8612671,202.8975525,216.6039276,101.2097244,122.7778931,57.30779266,135.5411987,97.5276947,82.70529938,87.2138443,90.76754761,70.32036591,412.5727844,205.9013214,920.4943848,212.8699951,202.2100067,120.4198685,114.217514,283.1735229,144.5253754,105.2078857,343.5899963,75.85256958,259.463562,433.3464661,181.8535767,351.6487122,68.68676758,446.6184387,180.9275818,688.8499756,2412.97998,15.91983986,217.1020508,211.2676849,550.7612305,215.3645935,60.02180099,47.04661179,179.8312225,66.98956299,373.2419739,272.3500061,57.75999832,64.09126282,65.01722717
2021/10/26 0:00,454.3637085,149.1024017,309.5436707,3376.070068,1018.429993,2786.169922,2793.439941,315.8099976,247.13974,290.8500061,170.3787231,164.6713867,453.1619873,367.6793823,142.08284,231.4126282,47.73026276,356.8517151,43.18096542,64.96688843,172.0399933,55.48305893,530.4765625,642.5,112.7963257,160.0882263,608.0952148,54.0508461,108.365509,53.49511719,668.5200195,127.6796494,355.4185486,484.7457886,295.1099854,47.94657135,50.4352684,52.44809723,243,148.1534882,131.4431152,81.47701263,247.6359406,235.1165314,24.86473846,163.4961395,306.7307129,230.3105316,315.7150574,195.774231,85.09311676,122.9300003,239.5762482,94.907547,607.9042358,216.9978943,217.3805847,102.7590027,123.2647934,57.73405457,131.7872772,96.62106323,82.87491608,87.85044098,88.64002991,70.14165497,415.4177551,206.9425659,927.3030396,209.8099976,199.6399994,119.9387131,114.4266129,285.5218811,145.6508942,107.3460083,348.7000122,76.35813141,257.8490601,435.021759,180.4969788,340.1138611,68.86657715,463.839447,180.6895294,676.710022,2443.030029,15.86013985,217.8287964,210.2688751,547.737915,214.8773041,60.50921631,47.20359421,179.1936646,67.04896545,329.1864929,272.4796753,57.36999893,63.96222687,65.08696747
2021/10/27 0:00,452.3507996,148.6330872,322.5798645,3392.48999,1037.859985,2924.350098,2928.550049,312.2200012,244.4800568,287.7799988,166.8300018,162.674469,452.0057678,370.7865295,141.0683136,215.4008026,46.81467438,335.2800293,42.59609985,63.27956772,169.5500031,55.85089111,519.7849121,640.0800171,110.7895279,159.5319824,612.0435791,55.09276581,107.286705,52.18162155,662.9199829,127.2611237,353.1344604,488.3199768,295.1499939,47.55926514,49.85749817,52.0034523,234.9400024,146.9383698,130.7058868,80.77368927,249.3603363,241.3917389,24.56091118,162.0587311,305.0418091,231.0082245,317.9077454,185.9547119,84.63514709,122.2799988,238.2426147,93.59542084,612.4190063,211.1667023,214.7917633,101.1699982,121.7246017,55.99925995,131.9470215,95.67457581,80.96917725,87.62165833,88.64002991,69.80410004,408.832489,204.8600616,913.0587158,206.6100006,196.1300049,118.0895844,113.0226669,284.0093994,143.2902832,103.7591476,348.980011,74.22405243,255.6665344,432.4689331,177.5843048,337.2027283,68.16732025,461.8228455,176.801178,664.7600098,2428.090088,15.43229485,220.9648132,209.3300018,552.4076538,211.7347412,60.0715332,46.60508728,169.8096161,66.09860992,328.2244568,267.811676,54.25999832,62.54282379,64.31982422
2021/10/28 0:00,456.7154541,152.3476563,323.7576904,3446.570068,1077.040039,2916.97998,2922.580078,316.9200134,249.3794708,289.7200012,169.3449249,161.7902679,453.9593811,370.0396118,141.9137421,209.4712372,47.55112839,332.5935669,42.8042717,63.45718002,169.6799927,55.91054153,526.2039185,639.2800293,111.8275299,160.535202,619.8204346,55.60876465,108.543663,51.64428329,674.0499878,127.2611237,355.3985901,490.5299988,298.3800049,47.74795532,51.16246033,52.17142868,236.8300018,147.8546753,133.1865234,85.73661041,252.5300446,244.1464691,25.04115105,164.1649475,304.3722534,230.9982452,316.9010925,186.719986,86.03892517,121.1600037,241.1487427,94.68064117,614.6963501,212.8483887,217.5398865,102.5,120.502388,56.63369751,135.8007965,95.87384033,81.80730438,88.14884949,88.66985321,70.37000275,412.642395,205.4451447,931.1851196,207.8500061,204.0899963,118.7216797,112.7139893,284.5964661,146.0891418,105.1679153,355.6099854,74.94206238,257.3407898,432.1498108,174.1728668,348.6379089,69.50589752,468.7212524,178.4179993,687.7000122,2429.77002,16.77553177,221.9504242,212.6699982,564.7106323,211.8739624,60.628582,43.74010468,171.8019867,66.66287994,328.6707764,267.7518616,54.24000168,63.41630173,64.95744324
2021/10/29 0:00,457.6421814,149.5816956,331.0144043,3372.429932,1114,2960.919922,2965.409912,323.5700073,255.6387024,287.0100098,168.8777161,161.8200684,458.9730225,370.2088928,142.2220917,211.3978577,47.55112839,335.0802917,43.3594017,63.61506271,169.0700073,55.64212036,528.2905273,650.3599854,113.1818695,160.5153503,632.8152466,55.93622589,113.4923096,51.17660141,690.3099976,128.4369659,357.8622131,491.5400085,299.6900024,48.66159821,50.96323013,52.35916901,232.5899963,148.8208008,132.5389557,87.22251129,253.9354706,244.1961975,24.75692749,166.9898529,311.5675659,233.0514984,318.1369934,187.4799957,84.95373535,120.2300034,240.253006,93.26985168,625.2640991,212.4205017,217.6792755,102.7799988,119.1013107,57.89266586,136.4297638,95.58491516,81.84721375,88.805336,88.34178162,69.16000366,411.1801147,205.2468109,939.128479,207.0299988,204.0099945,118.0235443,105.6146088,280.5764465,144.3859253,104.7782593,361.1300049,74.28388214,258.7360229,433.9148865,173.3449402,341.2703247,69.02640533,473.3634338,177.2376099,697.7600098,2420.780029,16.99442863,223.4935455,216.1999969,562.3358765,209.8651123,60.41969299,43.27895737,172.8280487,64.22761536,329.5931396,265.3879395,54.43000031,62.99941635,65.24636841
2021/11/1 0:00,458.4294434,148.7429199,328.7685242,3318.110107,1208.589966,2869.939941,2875.47998,329.980011,258.2383728,286.2399902,168.7882538,161.9591522,452.6336975,364.9705811,141.8739624,212.0866394,47.62079239,333.6122131,43.26026917,64.75967407,170.1900024,55.77135849,524.6935425,640.2000122,113.2214127,160.1776123,634.8443604,55.73776245,113.6308746,52.00250626,681.1699829,128.4868011,354.4011841,491.8699951,302.7600098,49.207798,51.51111221,52.31964111,231.2799988,149.1893005,134.3022919,87.01448059,248.5031128,249.1984558,24.86473846,166.0315857,309.4789124,230.9882965,321.8944092,187.4700012,85.21258545,125.2300034,238.3222351,92.1648941,608.1040039,209.8631287,218.8143768,104,119.4689713,58.17023087,139.2851563,94.03068542,81.68757629,90.16805267,88.03359222,69.61000061,414.5125427,208.0433197,931.9316406,214.5800018,205.3800049,119.136795,109.328598,280.7058105,144.1568298,106.1370697,355.0299988,74.38360596,257.0418396,427.5626831,173.7738647,357.6604004,70.62469482,462.4018555,178.1303558,681.9799805,2489.689941,17.86007118,221.1539764,213.6000061,571.5057373,209.4772644,60.58879471,43.22008514,174.3223267,64.97997284,328.2145081,267.7119446,55.49000168,63.95229721,66.40205383
2021/11/2 0:00,460.2828979,149.8013763,332.5216675,3312.75,1172,2908.649902,2917.26001,328.0799866,263.9776917,287.9299927,169.4542694,164.5124207,450.5704346,365.7772217,143.2863464,208.7724762,47.65065002,328.04953,45.05451965,63.9604187,169.8300018,57.28245544,533.65625,640.4000244,112.5294189,161.6476898,635.9439697,55.66830063,115.3332062,52.38063812,677.7199707,127.2611237,360.5652161,496.9899902,302.9500122,49.51565933,51.10269165,51.94416428,229.4600067,149.1195984,134.7207184,88.18338776,256.0187073,247.86586,24.72752571,167.5289001,313.0466003,232.2640839,326.4790955,189.3399963,85.04333496,127.6299973,239.2975769,92.75682831,617.6729126,208.1117859,220.2382202,104.6600037,120.5322037,58.1206665,140.9824371,95.51517487,81.58779144,90.66539764,87.28796387,68.59999847,421.625,212.4761047,943.498291,212.7700043,207.1199951,119.04245,110.9715042,281.2530823,146.4477234,106.5966644,360.3699951,72.82792664,259.3738708,419.0265808,172.7364655,354.2208557,70.68463898,460.4052429,180.5010529,686.5900269,2453.830078,17.91976929,224.170517,212.1999969,572.9824829,208.9402618,61.03642273,43.31820297,177.2610626,65.23735809,323.6324158,271.9510498,55.59000015,63.82326508,67.06956482
